a	indefinite article	 
sleep	v.	 
slow	adj.	 
small	adj.	 
snake	n.	 
snow	n., v.	 
so	adv., conj.	 
some	det., pron.	 
somebody	pron.	 
someone	pron.	 
something	pron.	 
sometimes	adv.	 
son	n.	 
song	n.	 
soon	adv.	 
sorry	adj., exclam.	 
sound	n., v.	 
soup	n.	 
south	n., adj., adv.	 
space	n.	 
speak	v.	 
special	adj.	 
spell	v.	 
spelling	n.	 
spend	v.	 
sport	n.	 
spring	n.	 
stand	v.	 
star	n.	 
start	v.	 
statement	n.	 
station	n.	 
stay	v.	 
still	adv.	 
stop	v., n.	 
story	n.	 
street	n.	 
strong	adj.	 
student	n.	 
study	n., v.	 
style	n.	 
subject	n.	 
success	n.	 
sugar	n.	 
summer	n.	 
sun	n.	 
Sunday	n.	 
supermarket	n.	 
sure	adj.	 
sweater	n.	 
swim	v.	 
swimming	n.	 
table	n.	 
take	v.	 
talk	v.	 
tall	adj.	 
taxi	n.	 
tea	n.	 
teach	v.	 
teacher	n.	 
team	n.	 
teenager	n.	 
telephone	n., v.	 
television	n.	 
tell	v.	 
ten	number	 
tennis	n.	 
terrible	adj.	 
test	n., v.	 
text	n.	 
than	conj.	 
thank	v.	 
thanks	exclam., n.	 
that	det., pron., conj.	 
the	definite article	 
theatre	n.	 
their	det.	 
them	pron.	 
then	adv.	 
there	adv.	 
they	pron.	 
thing	n.	 
think	v.	 
third	number	 
thirsty	adj.	 
thirteen	number	 
thirty	number	 
this	det./pron.	 
thousand	number	 
three	number	 
through	prep., adv.	 
Thursday	n.	 
ticket	n.	 
time	n.	 
tired	adj.	 
title	n.	 
to	prep., infinitive marker	 
today	adv., n.	 
together	adv.	 
toilet	n.	 
tomato	n.	 
tomorrow	adv., n.	 
tonight	adv., n.	 
too	adv.	 
tooth	n.	 
topic	n.	 
tourist	n.	 
town	n.	 
traffic	n.	 
train	n.	 
travel	v., n.	 
tree	n.	 
trip	n.	 
trousers	n.	 
true	adj.	 
try	v.	 
T-shirt	n.	 
Tuesday	n.	 
turn	v., n.	 
TV	n.	 
twelve	number	 
twenty	number	 
twice	adv.	 
two	number	 
type	n.	 
umbrella	n.	 
uncle	n.	 
under	prep., adv.	 
understand	v.	 
university	n.	 
until	conj./prep.	 
up	adv., prep.	 
upstairs	adv.	 
us	pron.	 
use	v.	 
useful	adj.	 
usually	adv.	 
vacation	n.	 
vegetable	n.	 
very	adv.	 
video	n.	 
village	n.	 
visit	v., n.	 
visitor	n.	 
wait	v.	 
waiter	n.	 
wake	v.	 
walk	v., n.	 
wall	n.	 
want	v.	 
warm	adj.	 
wash	v.	 
watch	v., n.	 
water	n.	 
way	n.	 
we	pron.	 
wear	v.	 
weather	n.	 
website	n.	 
Wednesday	n.	 
week	n.	 
weekend	n.	 
welcome	exclam., v., adj.	 
well	adv., adj., exclam.	 
west	n., adj., adv.	 
what	pron./det.	 
when	adv., pron., conj.	 
where	adv., conj.	 
which	pron./det.	 
white	adj., n.	 
who	pron.	 
why	adv.	 
wife	n.	 
will	modal v.	 
win	v.	 
window	n.	 
wine	n.	 
winter	n.	 
with	prep.	 
without	prep.	 
woman	n.	 
wonderful	adj.	 
word	n.	 
work	v., n.	 
worker	n.	 
world	n.	 
would	modal v.	 
write	v.	 
writer	n.	 
writing	n.	 
wrong	adj.	 
yeah	exclam.	 
year	n.	 
yellow	adj., n.	 
yes	exclam.	 
yesterday	adv., n.	 
you	pron.	 
young	adj.	 
your	det.	 
yourself	pron.	 



